Date,Price,Open,High,Low,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
1990-02-05,33190.0,33090.0,33220.0,33040.0,0.3,32827.0,33044.89370550936,38.56240379743461,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-02-06,32970.0,33190.0,33190.0,32820.0,-0.66,32808.0,33031.27666814402,35.66050146649596,-608.5911709855354,-405.73607495658325,124.32496053632894
1990-02-07,33380.0,32970.0,33380.0,32660.0,1.24,32843.0,33094.68091029965,44.10269699796551,-541.2122264128338,-405.73607495658325,124.32496053632894
1990-02-08,33300.0,33380.0,33610.0,33200.0,-0.24,32912.0,33132.01165388153,42.91932461964438,-488.63656070586876,-405.73607495658325,124.32496053632894
1990-02-09,33360.0,33300.0,33460.0,33240.0,0.18,32990.0,33173.464080448524,44.13014513123584,-437.0899672237065,-405.73607495658325,124.32496053632894
1990-02-12,33010.0,33360.0,33360.0,33000.0,-1.05,33039.0,33143.74333854879,38.94096387462776,-419.6436051824203,-405.73607495658325,124.32496053632894
1990-02-13,33100.0,33010.0,33160.0,32790.0,0.27,33119.0,33135.79000426719,40.86651952609451,-394.01305252691964,-405.73607495658325,124.32496053632894
1990-02-14,33200.0,33100.0,33320.0,33060.0,0.3,33148.0,33147.464548945885,43.016800131505576,-361.4647499902494,-405.73607495658325,124.32496053632894
1990-02-15,33490.0,33200.0,33520.0,33160.0,0.87,33209.0,33209.74372186481,48.82813165288291,-308.7107836154755,-405.73607495658325,124.32496053632894
1990-02-16,33270.0,33490.0,33560.0,33240.0,-0.66,33227.0,33220.69940879848,45.072764681485154,-281.4111144202543,-405.73607495658325,124.32496053632894
1990-02-20,32800.0,33270.0,33270.0,32630.0,-1.41,33188.0,33144.20860719876,38.29635603421815,-294.30839793487394,-383.4505395522414,89.14214161736749
1990-02-21,32770.0,32800.0,32820.0,32450.0,-0.09,33168.0,33076.17067861716,37.90462705721574,-303.45232777755155,-367.45089719730345,63.9985694197519
1990-02-22,32570.0,32770.0,33100.0,32570.0,-0.61,33087.0,32984.13964614132,35.311421900736775,-323.1126451440068,-358.5832467866441,35.47060164263729
1990-02-23,32410.0,32570.0,32610.0,32210.0,-0.49,32998.0,32879.750619570164,33.345968914749946,-347.5973650733504,-356.3860704439854,8.788705370635
1990-02-26,32870.0,32410.0,32870.0,32400.0,1.42,32949.0,32877.97777964832,43.1441438699728,-326.1241699744278,-350.3336903500739,24.209520375646093
1990-02-27,33030.0,32870.0,33190.0,32850.0,0.49,32951.0,32905.61818334862,46.111448373329125,-292.8203940994863,-338.83103109995636,46.01063700047007
1990-02-28,33190.0,33030.0,33350.0,33020.0,0.48,32960.0,32957.32396819432,48.97905824164562,-250.6271748914951,-321.19025985826414,70.56308496676905
1990-03-01,33270.0,33190.0,33440.0,33110.0,0.24,32967.0,33014.17415579536,50.40026606554307,-208.33189289216534,-298.6185864650444,90.28669357287907
1990-03-02,33550.0,33270.0,33550.0,33270.0,0.84,32973.0,33111.59703655983,55.11309334998393,-150.48422872867377,-268.9917149177703,118.50748618909654
1990-03-05,33370.0,33550.0,33640.0,33350.0,-0.54,32983.0,33158.57939354895,51.711455346220106,-117.80603909940692,-238.75457975409765,120.94854065469073
1990-03-06,33790.0,33370.0,33790.0,33360.0,1.26,33082.0,33273.38314017641,58.195135676330096,-57.356676408671774,-202.47499908501248,145.1183226763407
1990-03-07,33690.0,33790.0,33880.0,33630.0,-0.3,33174.0,33349.13166014433,56.25827111762984,-17.319635253159504,-165.4439263186419,148.1242910654824
1990-03-08,34030.0,33690.0,34070.0,33690.0,1.01,33320.0,33472.92590375445,61.0097830034094,41.36829881744052,-124.08148129142543,165.44978010886595
1990-03-09,33790.0,34030.0,34030.0,33680.0,-0.71,33458.0,33530.57573943546,56.3561295191669,67.73214119391923,-85.71875679435651,153.45089798827576
1990-03-12,33870.0,33790.0,33910.0,33610.0,0.24,33558.0,33592.28924135628,57.51931637913076,93.99746338411205,-49.7755127586628,143.77297614277484
1990-03-13,33600.0,33870.0,33870.0,33540.0,-0.8,33615.0,33593.691197473316,52.43955099548091,91.96604956293595,-21.42720029434305,113.393249857279
1990-03-14,33690.0,33600.0,33760.0,33490.0,0.27,33665.0,33611.2018888418,53.90100393326865,96.50592705843883,2.159425176213329,94.3465018822255
1990-03-15,33810.0,33690.0,33890.0,33690.0,0.36,33719.0,33647.34699996147,55.84906348360812,108.53567806423234,23.434675753817135,85.10100231041521
1990-03-16,34190.0,33810.0,34190.0,33810.0,1.12,33783.0,33746.01118178666,61.41027573169246,147.03721314779978,48.155183232613666,98.88202991518611
1990-03-19,34350.0,34190.0,34380.0,33910.0,0.47,33881.0,33855.82733055272,63.495246816065844,188.29012851928564,76.18217228994806,112.10795622933759
1990-03-20,34160.0,34350.0,34450.0,34090.0,-0.55,33918.0,33911.131452270405,59.39158486891721,203.30833710356092,101.60740525267063,101.70093185089029
1990-03-21,33970.0,34160.0,34230.0,33960.0,-0.56,33946.0,33921.834824584876,55.526863509603515,197.60114055729355,120.80615231359522,76.79498824369833
1990-03-22,33570.0,33970.0,33980.0,33360.0,-1.18,33900.0,33857.86485647853,48.38810113186153,158.96899351327738,128.43872055353165,30.53027295974573
