Date,Price,Open,High,Low,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
2016-08-04,-0.8137757920828582,-0.8201638986899696,-0.7918597058449346,-0.8387525690901027,2.02,-0.8538462211381814,-0.8625261564108376,44.197660970220866,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-08-03,-0.8137892644937317,-0.8201624343732656,-0.7918694730321761,-0.8387550134863871,-0.80,-0.8538481074364201,-0.8625305052402875,36.008639822879985,-0.038371195956913316,-0.04048135474041081,-0.007557716707984224
2016-08-02,-0.8137838755293824,-0.8201638986899696,-0.7918675588598022,-0.8387555023656441,0.22,-0.8538515957961766,-0.8625330193024443,40.738517334104785,-0.038379149168330406,-0.04048135474041081,-0.007557716707984224
2016-08-01,-0.8137853452469322,-0.8201487674173604,-0.7918491533562063,-0.8387493913749327,-1.26,-0.8538549807971256,-0.862535361009035,39.872912320486584,-0.03838613258146894,-0.04048135474041081,-0.007557716707984224
2016-07-29,-0.8137767718945581,-0.8201602378982094,-0.7918592150315054,-0.8387493913749327,0.98,-0.8538575906070176,-0.8625356159286988,46.95354963928506,-0.03838668552255253,-0.04048135474041081,-0.007557716707984224
2016-07-28,-0.8137833856235324,-0.8201577973703692,-0.7918624053187953,-0.8387484136164189,-0.04,-0.8538608980888608,-0.8625371058592326,42.769325108303704,-0.038390648840329535,-0.04048135474041081,-0.007557716707984224
2016-07-27,-0.8137831406706075,-0.8201634105844017,-0.7918675588598022,-0.8387518357712171,1.18,-0.8538634303796472,-0.8625382774355317,42.97202588568028,-0.038393420644157766,-0.04048135474041081,-0.007557716707984224
2016-07-26,-0.8137909791642065,-0.8201577973703692,-0.7918678042665169,-0.838780190768118,-0.55,-0.8538660660292409,-0.8625407546467283,38.29755693807597,-0.03839972747211912,-0.04048135474041081,-0.007557716707984224
2016-07-25,-0.813787304870332,-0.8201624343732656,-0.7918680496732314,-0.8387606355978416,-0.26,-0.8538671771364227,-0.8625420695892784,41.5094292655276,-0.038402322751490775,-0.04048135474041081,-0.007557716707984224
2016-07-22,-0.8137855901998572,-0.8201646308483218,-0.7918653501993707,-0.8387569690034148,0.18,-0.8538682107244987,-0.862542813246946,43.00056751222316,-0.03840307148815733,-0.04048135474041081,-0.007557716707984224
2016-07-21,-0.813786814964482,-0.8201790299625791,-0.79185946043822,-0.8387674799074385,-0.65,-0.8538693735110842,-0.8625436589829992,42.173523568334964,-0.03840400138307087,-0.04048407935895978,-0.007554490381142977
2016-07-20,-0.8137824058118325,-0.82016755948173,-0.7918641231657976,-0.838755991244901,1.14,-0.853868649999431,-0.8625434967089276,46.18620947389355,-0.03840192615698446,-0.040485779754180606,-0.007546483229028718
2016-07-19,-0.8137899993525067,-0.8201761013291708,-0.791874675654526,-0.838769924303723,1.19,-0.8538692959919786,-0.8625448351302288,40.91978724076881,-0.03840420215776891,-0.04048766574142245,-0.007547934146521684
2016-07-18,-0.8137978378461058,-0.8201843991238276,-0.7918797310328469,-0.8387728575792645,1.32,-0.8538706138167754,-0.8625474488509727,36.31638491338175,-0.038409997669800106,-0.04049051307775931,-0.007555449761746565
2016-07-15,-0.8138064111984799,-0.820189524232292,-0.7918813016358206,-0.838777990811462,0.61,-0.8538737404207054,-0.8625512483718556,32.06716781859568,-0.038418893691029465,-0.04049484559504664,-0.0075670605789002685
2016-07-14,-0.8138103304452795,-0.8201914766545642,-0.7918908724976904,-0.8387819996213687,2.01,-0.8538765827879145,-0.8625551163951448,30.32061799190926,-0.03842752652075003,-0.040500305469698426,-0.007575874010167055
2016-07-13,-0.813823067997378,-0.8201900123378599,-0.791893081158122,-0.8387894794739994,-2.05,-0.8538807946593242,-0.8625607489457241,25.4660554540133,-0.03844076400352466,-0.04050773073289622,-0.007591238984405669
2016-07-12,-0.8138098405394295,-0.820188303968372,-0.791886700583542,-0.8387804352077466,0.19,-0.8538827843163704,-0.8625627946763982,36.78503008435097,-0.0384430032901853,-0.040514188134930046,-0.007583672459261754
2016-07-11,-0.8138110653040543,-0.8201948933935403,-0.7918906270909758,-0.8387914349910272,2.49,-0.8538852907674548,-0.8625647057449112,36.236301264835824,-0.03844464593165229,-0.04051973344530582,-0.007576541927816565
2016-07-08,-0.8138267422912526,-0.820212221141206,-0.7919060877139965,-0.8388048791705922,2.06,-0.8538896318373742,-0.8625693066439621,30.055966431126762,-0.03845384809055773,-0.04052629504817876,-0.007584487078443252
2016-07-07,-0.8138394798433513,-0.8202327215750638,-0.7919151677624371,-0.8388222343842126,4.39,-0.8538951873732827,-0.8625755388201645,26.152977370911486,-0.038467231668052035,-0.040534635436370196,-0.0075983932297995155
2016-07-06,-0.8138654448533983,-0.8202376026307442,-0.7919409354674715,-0.8388293231334377,-1.11,-0.8539039470322269,-0.8625856683974723,20.351378753906033,-0.03849110262192988,-0.04054682104456268,-0.007628454311806944
2016-07-05,-0.813858831124424,-0.8202149057218302,-0.7919205667101585,-0.838825167659754,-2.13,-0.853911207988461,-0.8625926748735516,24.920081630988776,-0.03850478124401529,-0.040559728781276436,-0.007634099753340193
2016-07-04,-0.8138458486194006,-0.8202075841383095,-0.7919178672362979,-0.8388134345575881,-1.19,-0.8539162725700334,-0.8625958921828635,33.0395868608488,-0.03850677297913683,-0.04057051498697524,-0.0076175140917123085
2016-07-01,-0.8138385000316513,-0.8202044114521173,-0.7919107504415741,-0.8388073235668768,-0.32,-0.8539196575709825,-0.8625971007936238,37.180805910680895,-0.0385027220805082,-0.04057820834544327,-0.007593334894107112
2016-06-30,-0.8138365404082516,-0.8202275964665993,-0.7919195850833002,-0.8388200344275564,1.57,-0.8539224224190858,-0.8625977099947807,38.277057202612795,-0.038496983178065304,-0.040583037560372175,-0.0075709436515287165
2016-06-29,-0.8138460935723254,-0.8202283286249513,-0.7919308737921723,-0.8388266342975247,3.23,-0.8539248513510644,-0.8626000592852796,35.064541727569264,-0.038496396447817875,-0.040586765419570195,-0.0075623334952993415
2016-06-28,-0.8138651999004733,-0.8202534660617056,-0.7919419170943299,-0.8388420339941175,5.46,-0.8539306911236939,-0.8626056831384288,29.696387467030377,-0.03850517134624374,-0.04059177438030851,-0.0075723488646284726
2016-06-27,-0.813895819016095,-0.8202210070414307,-0.7919306283854578,-0.8388623224832793,-8.44,-0.8539396316605515,-0.8626162166945822,23.489988184629482,-0.038527590136895294,-0.04060095945114002,-0.007604996772407472
2016-06-24,-0.8138441339489257,-0.8202612757507943,-0.7919267018780239,-0.8388659890777062,-8.59,-0.8539414662793864,-0.8626148214683792,44.55478549516814,-0.03851462355607174,-0.0406053127125486,-0.007567222751865686
2016-06-23,-0.8137865700115571,-0.8201743929596826,-0.791868295079946,-0.8387723687000076,3.05,-0.8539358849037759,-0.8626025273427613,58.318900021050666,-0.03847080833620868,-0.040598675644452936,-0.007481302779425548
2016-06-22,-0.8138064111984799,-0.8201887920739399,-0.7918847373298251,-0.8387809240870034,1.34,-0.853929657535618,-0.8625963125924099,53.39834755113103,-0.03844641546536375,-0.0405877321490359,-0.007447636080294808
2016-06-21,-0.8138149845508539,-0.8201926969184842,-0.7918977438856997,-0.8387875239569718,0.92,-0.8539250322289778,-0.8625928888187603,51.38102646400292,-0.038431244602054104,-0.04057547345062531,-0.007437354113324128
2016-06-20,-0.8138208634210533,-0.8202175903024544,-0.791903879053565,-0.8388061013687345,5.70,-0.853922396579384,-0.8625912265359882,49.98649668880553,-0.03842197180099931,-0.04056352482162982,-0.007439778167633892
2016-06-17,-0.8138551568305495,-0.8202429717919927,-0.7919394630271839,-0.838833234167493,2.63,-0.8539241536791131,-0.8625965105748172,42.70522112212801,-0.038433244314565004,-0.04055656944750685,-0.007478814333097977
2016-06-16,-0.8138705888648228,-0.8202373585779602,-0.7919460890084784,-0.8388351896845206,-2.45,-0.8539277453976772,-0.86260382371908,39.889373315884434,-0.03844998481032008,-0.04055487157668049,-0.007519916334468794
