Date,Price,Open,High,Low,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
2016-08-08,2.775,2.774,2.798,2.766,-0.14,2.8501,2.833727501363418,43.390344669334254,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-05,2.779,2.769,2.785,2.7534,0.00,2.8390999999999997,2.8237770465700693,44.19766097022087,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-04,2.779,2.724,2.782,2.723,2.02,2.83,2.815635765375511,44.197660970220866,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-08-03,2.724,2.73,2.7422,2.713,-0.80,2.8227,2.798974717125418,36.008639822879985,0.0012675519086742248,-0.011022031520081795,-0.006356895884624462
2016-08-02,2.746,2.724,2.75,2.711,0.22,2.8091999999999997,2.789342950375342,40.738517334104785,-0.003384900501556931,-0.011022031520081795,-0.006356895884624462
2016-08-01,2.74,2.786,2.825,2.736,-1.26,2.7961,2.7803715048525524,39.872912320486584,-0.007470042412689004,-0.011022031520081795,-0.006356895884624462
2016-07-29,2.775,2.739,2.784,2.736,0.98,2.786,2.7793948676066336,46.95354963928506,-0.007793500691636979,-0.011022031520081795,-0.006356895884624462
2016-07-28,2.748,2.749,2.771,2.74,-0.04,2.7732,2.773686709859973,42.769325108303704,-0.01011195375130658,-0.011022031520081795,-0.006356895884624462
2016-07-27,2.749,2.726,2.75,2.726,1.18,2.7634,2.7691982171581597,42.97202588568028,-0.011733397558725045,-0.011022031520081795,-0.006356895884624462
2016-07-26,2.717,2.749,2.749,2.61,-0.55,2.7532,2.7597076322203127,38.29755693807597,-0.015422752136517559,-0.011022031520081795,-0.006356895884624462
2016-07-25,2.732,2.73,2.748,2.69,-0.26,2.7489,2.7546698809075285,41.5094292655276,-0.016940933049186757,-0.011022031520081795,-0.006356895884624462
2016-07-22,2.739,2.721,2.759,2.705,0.18,2.7449000000000003,2.751820811651614,43.00056751222316,-0.017378927404706257,-0.011022031520081795,-0.006356895884624462
2016-07-21,2.734,2.662,2.783,2.662,-0.65,2.7404,2.748580664078593,42.173523568334964,-0.01792289531966018,-0.012402204279997473,-0.005520691039662708
2016-07-20,2.752,2.709,2.764,2.709,1.14,2.7432000000000003,2.749202361518849,46.18620947389355,-0.016708934052805713,-0.013263550234559121,-0.003445383818246592
2016-07-19,2.721,2.674,2.721,2.652,1.19,2.7407000000000004,2.7440746594245127,40.91978724076881,-0.018040344068200653,-0.014218909001287427,-0.0038214350669132265
2016-07-18,2.689,2.64,2.7004,2.64,1.32,2.7356000000000003,2.734061084983692,36.31638491338175,-0.02143059015925708,-0.015661245232881357,-0.005769344926375722
2016-07-15,2.654,2.619,2.694,2.619,0.61,2.7235,2.7195045240775664,32.06716781859568,-0.026634565413968136,-0.017855909269098715,-0.008778656144869421
2016-07-14,2.638,2.611,2.655,2.6026,2.01,2.7125,2.7046855196998267,30.32061799190926,-0.031684579469208884,-0.020621643309120752,-0.011062936160088133
2016-07-13,2.586,2.617,2.646,2.572,-2.05,2.6962,2.683106334299858,25.4660554540133,-0.03942821350714132,-0.024382957348724865,-0.015045256158416453
2016-07-12,2.64,2.624,2.672,2.609,0.19,2.6885,2.675268818972611,36.78503008435097,-0.04073814657381636,-0.027653995193743168,-0.01308415138007319
2016-07-11,2.635,2.597,2.656,2.564,2.49,2.6788,2.667947215523045,36.236301264835824,-0.04169905542578345,-0.030463007240151226,-0.011236048185632223
2016-07-08,2.571,2.526,2.593,2.509,2.06,2.662,2.6503204490643095,30.055966431126762,-0.047082114436005185,-0.03378682867932202,-0.013295285756683164
2016-07-07,2.519,2.442,2.556,2.438,4.39,2.6405000000000003,2.6264440037798895,26.152977370911486,-0.05491121064702176,-0.03801170507286197,-0.016899505574159784
2016-07-06,2.413,2.422,2.451,2.409,-1.11,2.6066,2.5876360030926366,20.351378753906033,-0.06887518960839367,-0.04418440197996831,-0.02469078762842536
2016-07-05,2.44,2.515,2.534,2.426,-2.13,2.5784999999999996,2.56079309343943,24.920081630988776,-0.07687688036606843,-0.05072289765718834,-0.026153982708880093
2016-07-04,2.493,2.545,2.545,2.474,-1.19,2.5589,2.548467076450442,33.0395868608488,-0.07804200126890715,-0.056186718379532104,-0.021855282889375043
2016-07-01,2.523,2.558,2.574,2.499,-0.32,2.5458000000000003,2.543836698913998,37.180805910680895,-0.07567231535211194,-0.06008383777404808,-0.015588477578063864
2016-06-30,2.531,2.463,2.538,2.447,1.57,2.5351,2.5415027536569075,38.277057202612795,-0.07231518461556741,-0.06253010714235195,-0.009785077473215456
2016-06-29,2.492,2.46,2.492,2.42,3.23,2.5257,2.5325022529920154,35.064541727569264,-0.07197196042465004,-0.06441847779881157,-0.007553482625838465
2016-06-28,2.414,2.357,2.447,2.357,5.46,2.5031000000000003,2.510956388811649,29.696387467030377,-0.07710508152379258,-0.06695579854380777,-0.010149282979984811
2016-06-27,2.289,2.49,2.493,2.274,-8.44,2.4684999999999997,2.4706006817549855,23.489988184629482,-0.09021957718239415,-0.07160855427152506,-0.018611022910869093
